epoch,loss,val_loss
0,1.9166161959075927,2.1383389331817626
1,1.9235970620727538,2.1406691944122316
2,1.9172626220703124,2.1475542316436766
3,1.915227791633606,2.1366685176849365
4,1.9178464559173585,2.1477067008972166
5,1.9106185304260255,2.1391486743927004
6,1.9129693516159059,2.1412459785461424
7,1.9154668481826782,2.1361319877624512
8,1.9110769519805908,2.1288678230285645
9,1.907500764541626,2.1335718975067137
10,1.909990585975647,2.1389435482025148
11,1.9118488254165649,2.1375557327270509
12,1.9071079994583129,2.1322474533081053
13,1.9070437911224365,2.1276211151123046
14,1.907707000541687,2.1324077877044676
15,1.9089776439285278,2.1273157382965087
16,1.9052818362045287,2.1423896171569825
17,1.901827691307068,2.1380573074340821
18,1.9032818368148803,2.143844674682617
19,1.8988689488601684,2.129477791595459
20,1.9005937368774415,2.1548841815948485
21,1.9055596434402466,2.1326694164276123
22,1.8953301135635376,2.1348271900177003
23,1.8978954891967774,2.1469121196746825
24,1.9005793357849121,2.1459441261291503
25,1.8977240999984741,2.1359257610321043
26,1.8944165701293945,2.1333291416168212
27,1.8964676929473876,2.135300631713867
28,1.8918464572143554,2.1329561504364012
